subj_id,age,gender,ethnicity,born_ch,born_ch_text,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,language_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
ch_adults_087_dogs,84,Male,the Han nationality,Other,Shanghai-Yangpu,shanghai,urban,drop out of junior high school,yes,common,about the same,neither agree nor disagree,ancestors,the Han nationality,shanghainese,urban,less than high school,middle,middle,0,traditional
ch_adults_088_flowers,75,Female,the Han nationality,Other,Shanghai - Jiading,local,rural,primary school graduation,yes,common,a little poorer,strongly disagree,mdata,the Han nationality,local dialect,rural,less than high school,middle,middle,-2,NA
ch_adults_089_ghosts,64,Female,Han,Yes,NA,shanghai,urban,high school,yes,middle of shanghai,about the same,agree,"believe in jesus from inside, but doesn't like christians",Han,shanghainese,urban,high school,middle,middle,1,christian
ch_adults_090_god,57,Female,Han,Yes,NA,mandarin,urban,high school,yes,just so so,about the same,neither agree nor disagree,missing data,Han,mandarin,urban,high school,lower middle,lower,0,NA
ch_adults_091_rocks,53,Female,Han,Yes,NA,shanghai,rural,junior high school,yes,upper middle class,about the same,neither agree nor disagree,no,Han,shanghainese,rural,less than high school,middle,middle,0,none
ch_adults_092_crickets,21,Female,Han,Yes,NA,chinese,urban,undergraduate,yes,almost the same as me,much poorer,disagree,none,Han,chinese,urban,some college,NA,NA,-1,none
ch_adults_093_cellphones,21,Female,Man ( one of the minorities in China),Yes,NA,chinese,urban,undergraduate,yes,middle,much poorer,neither agree nor disagree,none,Man ( one of the minorities in China),chinese,urban,some college,middle,middle,0,none
ch_adults_094_chickens,21,Female,Han,Yes,NA,mandarin chinese,urban,undergraduate,NA,middle,a little poorer,agree,animism,Han,mandarin,urban,some college,middle,middle,1,traditional
ch_adults_095_children,22,Female,Han,Yes,NA,chinese,urban,undergraduate,yes,almost the same as me,about the same,strongly disagree,mdata,Han,chinese,urban,some college,NA,NA,-2,NA
ch_adults_096_dogs,22,Female,Han,Other,"Tainan, Taiwan",mandarin and hokkienese,urban,undergraduate,yes,the average level,about the same,neither agree nor disagree,no,Han,mandarin,urban,some college,middle,middle,0,none
ch_adults_097_flowers,52,Female,Han,Other,"Tainan, taiwan",hokkienese,urban,junior college,yes,the average level,about the same,neither agree nor disagree,none,Han,hokkienese,urban,other college degree,middle,middle,0,none
ch_adults_098_ghosts,51,Male,Han,Other,"Tainan, Taiwan",hokkienese and mandarin,rural,master's degree,yes,the average level,about the same,strongly disagree,no,Han,mandarin,rural,masters,middle,middle,-2,none
ch_adults_099_god,22,Female,Han,Other,"Changchun city, Jilin province",mandarin/ the northeastern,urban,undergraduate,yes,the average level (great gap between the rich and the poor in shanghai),much poorer,strongly disagree,no,Han,mandarin,urban,some college,upper,upper,-2,none
ch_adults_100_mice,60,Male,Hui,Yes,NA,anhui,urban,senior high school,yes,good and harmony,a little richer,agree,buddhism,Hui,anhui,urban,high school,upper,upper,1,buddhist
ch_adults_101_crickets,61,Female,Han,Yes,NA,shanghai,urban,special (or technical) secondary school,yes,above average level,about the same,neither agree nor disagree,none,Han,shanghainese,urban,trade/certificate,upper middle,upper,0,none
ch_adults_102_cellphones,25,Female,Han,Other,"Jiangsin, Chongqing",chonqing,rural,master's degree,yes,the average level,a little poorer,neither agree nor disagree,no,Han,chongqing,rural,masters,middle,middle,0,none
