subj_id,age,gender,live_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat,church_cat
gh_children_128_dogs,6,M,Cape Coast,Cape Coast,2,1,"English, Fante a little","English, Fante","English, Fante",Calvary Hillcrest,Saint Augustine's Anglican Church,christian,christian,Saint Augustine's Anglican Church
gh_children_129_chickens,10,M,Cape Coast,Abura Dunkwa,2,1,"English, Fante",Fante,English,Calvary Hillcrest,Charity Prayer Ministry,christian,christian,Charity Prayer Ministry
gh_children_130_god,6,M,Cape Coast,Cape Coast,1,1,"English, Fante","English, Fante",English,Calvary Hillcrest,Pentecost,christian,christian,Pentecost
gh_children_131_chickens,7,F,Cape Coast,Cape Coast,7,8,"English, Fante",Fante,English,Calvary Hillcrest,Anomabo Anglican Church,christian,christian,Anomabo Anglican Church
gh_children_132_chickens,8,F,Cape Coast,Cape Coast,2,2,English,English,English,Calvary Hillcrest,Calvary Charismatic Church,christian,christian,Calvary Charismatic Church
gh_children_133_beetles,9,F,Cape Coast,Accra,2,1,"English, Ga","English, Ga learning now",English,Calvary Hillcrest,Destiny Life Chapel International,christian,christian,Destiny Life Chapel International
gh_children_134_flowers,9,F,Cape Coast,Don't know,2,1,"English, Fante, Ewe","Fante, Ewe",English,Calvary Hillcrest,House of Power,christian,christian,House of Power
gh_children_135_ghosts,9,F,Cape Coast,Upper West Region,1,1,"English, Dagari, Wala, Twi","English, Twi",English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_136_god,8,F,Cape Coast,Cape Coast,3,2,"English, Fante",Fante,English,Calvary Hillcrest,Theocracy Church,judaism,jewish,Theocracy Church
gh_children_137_dogs,8,M,Cape Coast,Accra,3,2,"English, Ewe",Ewe,English,Calvary Hillcrest,Saint Francis Catholic Church,christian,christian,Saint Francis Catholic Church
gh_children_138_flowers,10,F,Cape Coast,Volta Region,3,1,"English, Twi",Twi,English,Calvary Hillcrest,Anglican Methodist Church,christian,christian,Anglican Methodist Church
gh_children_139_cellphones,8,F,Elmina,Elmina,3,2,"English, Fante",Fante,English,Calvary Hillcrest,Elmina Mosque,mosque,mosque,Elmina Mosque
gh_children_140_cellphones,6,M,Cape Coast,Cape Coast,4,2,"English, Fante","English, Fante",English,Calvary Hillcrest,Grace Temple,christian,christian,Grace Temple
gh_children_141_children,9,F,Cape Coast,Western Region,2,1,"English, Fante",English,"English, Fante in class",Calvary Hillcrest,University Interdenominational Church (U.I.C),christian,christian,University Interdenominational Church (U.I.C)
gh_children_142_rocks,8,F,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Pentecost,christian,christian,Pentecost
gh_children_143_chickens,8,F,Cape Coast,Eastern Region,0,1,"English, Ga","English, Ga",English,Calvary Hillcrest,Lighthouse Chapel International,christian,christian,Lighthouse Chapel International
gh_children_144_beetles,7,F,Cape Coast,Cape Coast,3,2,"English, Ga",Ga,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_145_rocks,8,F,Elmina Zongo,Elmina,3,3,"English, Fante",Fante,English,Calvary Hillcrest,Elmina Mosque,muslim,muslim,Elmina Mosque
gh_children_146_dogs,9,F,Ankaful,Kumasi,3,2,"English, Twi","English, Twi",English,Calvary Hillcrest,Action Faith Chapel,christian,christian,Action Faith Chapel
gh_children_147_chickens,9,F,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_148_god,9,F,Cape Coast,Komenda,3,1,"English, Fante",Fante,English,Calvary Hillcrest,"Lighthouse Chapel, doesn't go lately",christian,christian,"Lighthouse Chapel, doesn't go lately"
gh_children_149_beetles,10,F,Cape Coast,Bupe (Northern Region),2,1,"English, Hausa, Gunja","Hausa, English",English,Calvary Hillcrest,Bakaano Mosque,muslim,muslim,Bakaano Mosque
gh_children_150_chickens,10,F,Cape Coast,Eastern Region,3,4,"English, Fante",Fante,English,Calvary Hillcrest,Assemblies of God,christian,christian,Assemblies of God
