subj_id,age,gender,ethnicity,born_th,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
th_adults_070_flowers,22,F,Thai,Yes,Phrae dialect,Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_133_flowers,32,F,Thai,Yes,Essan,Urban,grade 12,yes,middle,about same,disagree,buddhist,Thai,Urban,some high school,middle,middle,-1,buddhist
th_adults_087_dogs,55,F,Thai,Yes,Not trans,Rural,grade 4,yes,middle,about same,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_135_god,42,F,Thai,Yes,Thai,Rural,masters degree,yes,middle,about same,disagree,buddhist,Thai,Rural,masters,middle,middle,-1,buddhist
th_adults_045_mice,31,F,Thai,Yes,Native Phayao dialect,Rural,masters degree,yes,middle,about same,disagree,buddhist,Thai,Rural,masters,middle,middle,-1,buddhist
th_adults_092_beetles,20,M,Thai,Yes,Essan,Rural,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Rural,bachelors,middle,middle,-1,buddhist
th_adults_069_dogs,25,M,Thai,Yes,Thai,Urban,bachelors degree,yes,rich,about same,disagree,buddhist,Thai,Urban,bachelors,upper,upper,-1,buddhist
th_adults_018_mice,21,M,Thai,Yes,Northern dialect,Rural,bachelors degree,no,middle,about same,disagree,buddhist,Thai,Rural,bachelors,middle,middle,-1,buddhist
th_adults_059_children,20,M,Thai,Yes,Thai,Urban,"bachelors degree (student), undergrad",yes,middle,about same,disagree,buddhist,Thai,Urban,some college,middle,middle,-1,buddhist
th_adults_146_rocks,52,M,Thai,Yes,Essan,Rural,grade 6,no,middle,a little poorer,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
